"","featureid","zone","riparian_distance_ft","agriculture","alloffnet","allonnet","ann_tmax_c","ann_tmin_c","apr_prcp_mm","AreaSqKM","aug_prcp_mm","dec_prcp_mm","deg_barr_1","deg_barr_2","deg_barr_3","deg_barr_4","deg_barr_5","deg_barr_6","deg_barr_7","deg_barr_all","dep_no3_2011","dep_so4_2011","devel_hi","devel_low","devel_med","devel_opn","developed","drainageclass","elevation","feb_prcp_mm","forest","forest_decid","forest_evgrn","forest_mixed","fwsopenwater","fwswetlands","herbaceous","hydrogroup_a","hydrogroup_ab","hydrogroup_cd","hydrogroup_d1","hydrogroup_d4","impervious","jan_prcp_mm","jul_prcp_mm","jun_prcp_mm","mar_prcp_mm","may_prcp_mm","nov_prcp_mm","oct_prcp_mm","openoffnet","openonnet","percent_sandy","sep_prcp_mm","slope_pcnt","surfcoarse","tree_canopy","undev_forest","water","wetland"
"1","201473434","local","200"," 0.0000000"," 0.0000000"," 15.9884000",NA,NA,NA,"3.08932e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.37209","810.7120",NA,"100.00000"," 39.534900","15.407000"," 45.058100","1.74419e+00"," 13.9535000"," 0.0000000","0.00000e+00"," 60.4651000"," 39.534900","28.4884000"," 28.4884000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.58139500","1.16279e+00","  0.0000000",NA,"12.2881000","0.00000e+00","81.7384000","100.00000","0.00000e+00"," 29.0698000"
"2","201473434","local",NA," 0.0000000"," 0.7199700","  3.1830200"," 9.95231","-1.287470000","144.8390","2.37510e+00","146.5360","147.0770"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.53480","13.63040"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.53240","911.6890","126.9610"," 98.90110"," 56.006100","30.579800"," 12.315300","3.03145e-01","  3.5619600"," 1.0989000","0.00000e+00"," 30.1629000"," 69.837100","49.9432000"," 49.9432000","0.00000e+00","143.3270","146.2710","166.336","148.5480","148.809","164.144","174.010","0.15157300","1.51573e-01","  0.0000000","146.884","15.6427000","0.00000e+00","85.6813000"," 98.90110","0.00000e+00","  5.8734400"
"3","201473434","upstream","200"," 0.0000000"," 0.0000000"," 15.9884000",NA,NA,NA,"3.08932e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.37209","810.7120",NA,"100.00000"," 39.534900","15.407000"," 45.058100","1.74419e+00"," 13.9535000"," 0.0000000","0.00000e+00"," 60.4651000"," 39.534900","28.4884000"," 28.4884000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.58139500","1.16279e+00","  0.0000000",NA,"12.2881000","0.00000e+00","81.7384000","100.00000","0.00000e+00"," 29.0698000"
"4","201473434","upstream",NA," 0.0000000"," 0.7199700","  3.1830200"," 9.95231","-1.287470000","144.8390","2.37510e+00","146.5360","147.0770"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.53480","13.63040"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.53240","911.6890","126.9610"," 98.90110"," 56.006100","30.579800"," 12.315300","3.03145e-01","  3.5619600"," 1.0989000","0.00000e+00"," 30.1629000"," 69.837100","49.9432000"," 49.9432000","0.00000e+00","143.3270","146.2710","166.336","148.5480","148.809","164.144","174.010","0.15157300","1.51573e-01","  0.0000000","146.884","15.6427000","0.00000e+00","85.6813000"," 98.90110","0.00000e+00","  5.8734400"
"5","201473435","local","200"," 0.0000000"," 0.0000000"," 29.0323000",NA,NA,NA,"1.69682e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.21505","792.6130",NA,"100.00000"," 50.000000"," 3.763440"," 46.236600","0.00000e+00"," 29.0323000"," 0.0000000","0.00000e+00"," 26.8817000"," 73.118300","64.5161000"," 64.5161000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA,"11.9539000","0.00000e+00","86.6774000","100.00000","0.00000e+00"," 31.1828000"
"6","201473435","local",NA," 0.0000000"," 0.0000000","  3.9617500"," 9.93892","-1.277340000","143.6740","1.97640e+00","146.2830","147.0990"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.52300","13.62650"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.36840","896.5980","126.4780","100.00000"," 65.664800","25.637500","  8.697630","0.00000e+00","  3.9617500"," 0.0000000","0.00000e+00"," 16.4845000"," 83.515500","68.1239000"," 68.1239000","0.00000e+00","142.8650","144.8340","165.199","147.0790","147.854","163.010","172.831","0.00000000","0.00000e+00","  0.0000000","146.564","16.2625000","0.00000e+00","87.2532000","100.00000","0.00000e+00","  4.3715800"
"7","201473435","upstream","200"," 0.0000000"," 0.0000000"," 29.0323000",NA,NA,NA,"1.69682e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.21505","792.6130",NA,"100.00000"," 50.000000"," 3.763440"," 46.236600","0.00000e+00"," 29.0323000"," 0.0000000","0.00000e+00"," 26.8817000"," 73.118300","64.5161000"," 64.5161000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA,"11.9539000","0.00000e+00","86.6774000","100.00000","0.00000e+00"," 31.1828000"
"8","201473435","upstream",NA," 0.0000000"," 0.0000000","  3.9617500"," 9.93892","-1.277340000","143.6740","1.97640e+00","146.2830","147.0990"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.52300","13.62650"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.36840","896.5980","126.4780","100.00000"," 65.664800","25.637500","  8.697630","0.00000e+00","  3.9617500"," 0.0000000","0.00000e+00"," 16.4845000"," 83.515500","68.1239000"," 68.1239000","0.00000e+00","142.8650","144.8340","165.199","147.0790","147.854","163.010","172.831","0.00000000","0.00000e+00","  0.0000000","146.564","16.2625000","0.00000e+00","87.2532000","100.00000","0.00000e+00","  4.3715800"
"9","201473448","local","200"," 0.0000000"," 0.0000000"," 14.7059000",NA,NA,NA,"1.24642e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.84553","778.2430",NA," 95.58820"," 59.558800","16.176500"," 19.852900","0.00000e+00"," 14.7059000"," 4.4117600","0.00000e+00"," 42.6471000"," 48.529400","13.2353000"," 13.2353000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA," 9.6134300","0.00000e+00","83.4926000"," 95.58820","0.00000e+00"," 24.2647000"
"10","201473448","local",NA," 0.0000000"," 5.1000000"," 11.2000000","10.32450","-1.317400000","145.7880","9.00000e-01","138.8120","151.2640"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.44020","13.56080"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.94980","797.8430","130.2180"," 98.50000"," 67.500000"," 6.900000"," 24.100000","0.00000e+00"," 16.3000000"," 1.5000000","0.00000e+00"," 40.9000000"," 56.100000","15.8000000"," 15.8000000","0.00000e+00","143.2690","145.4940","157.025","146.3940","146.074","160.086","168.495","0.00000000","0.00000e+00","  0.0000000","138.606"," 9.2689600","0.00000e+00","85.1210000"," 98.50000","0.00000e+00"," 20.0000000"
