expert_ID,species,drainagearea_sqkm,streamwidth_m,pr_occ,slope,logit.p,logit.slope
1,DEFU,0.75,0.5,0.95,-0.2,1.278753601,-1.298044366
1,DEFU,1,1,0.9,-0.05,0.954242509,-0.200914843
1,DEFU,2,2,0.85,-0.05,0.753327667,-0.151267675
1,DEFU,3,2.5,0.8,-0.05,0.602059991,-0.124938737
1,DEFU,4,3,0.75,-0.05,0.477121255,-0.109144469
1,DEFU,5,3.5,0.7,-0.01,0.367976785,-0.019826295
1,DEFU,10,4,0.65,-0.02,0.268845312,-0.036339027
1,DEFU,15,5,0.55,-0.006,0.087150176,-0.010529657
1,DEFU,40,8,0.4,-0.00125,-0.176091259,-0.002662305
1,DEFU,200,20,0.2,NA,-0.602059991,NA
1,GYPO,0.75,0.5,0.95,-0.2,1.278753601,-1.298044366
1,GYPO,1,1,0.9,-0.05,0.954242509,-0.200914843
1,GYPO,2,2,0.85,-0.05,0.753327667,-0.151267675
1,GYPO,3,2.5,0.8,-0.05,0.602059991,-0.124938737
1,GYPO,4,3,0.75,-0.05,0.477121255,-0.109144469
1,GYPO,5,3.5,0.7,-0.01,0.367976785,-0.019826295
1,GYPO,10,4,0.65,-0.02,0.268845312,-0.036339027
1,GYPO,15,5,0.55,-0.006,0.087150176,-0.010529657
1,GYPO,40,8,0.4,-0.00125,-0.176091259,-0.002662305
1,GYPO,200,20,0.2,NA,-0.602059991,NA
1,EUBI,0.75,0.5,0.95,-0.2,1.278753601,-1.298044366
1,EUBI,1,1,0.9,-0.05,0.954242509,-0.200914843
1,EUBI,2,2,0.85,-0.05,0.753327667,-0.151267675
1,EUBI,3,2.5,0.8,-0.05,0.602059991,-0.124938737
1,EUBI,4,3,0.75,-0.05,0.477121255,-0.109144469
1,EUBI,5,3.5,0.7,-0.01,0.367976785,-0.019826295
1,EUBI,10,4,0.65,-0.02,0.268845312,-0.036339027
1,EUBI,15,5,0.55,-0.006,0.087150176,-0.010529657
1,EUBI,40,8,0.4,-0.00125,-0.176091259,-0.002662305
1,EUBI,200,20,0.2,NA,-0.602059991,NA
2,DEFU,0.75,0.5,0.95,-0.12,1.278753601,-0.872223042
2,DEFU,1,1,0.92,-0.01,1.06069784,-0.055898957
2,DEFU,2,2,0.91,-0.01,1.004798883,-0.050556373
2,DEFU,3,2.5,0.9,-0.01,0.954242509,-0.046245188
2,DEFU,4,3,0.89,-0.01,0.907997321,-0.042695895
2,DEFU,5,3.5,0.88,-0.006,0.865301426,-0.022394752
2,DEFU,10,4,0.85,-0.004,0.753327667,-0.012939699
2,DEFU,15,5,0.83,-0.0012,0.688629171,-0.003462767
2,DEFU,40,8,0.8,-0.00125,0.602059991,-0.002662305
2,DEFU,200,20,0.6,NA,0.176091259,NA
2,GYPO,0.75,0.5,0.85,-0.08,0.753327667,-0.258793983
2,GYPO,1,1,0.83,-0.02,0.688629171,-0.058897753
2,GYPO,2,2,0.81,-0.01,0.629731418,-0.027671427
2,GYPO,3,2.5,0.8,-0.05,0.602059991,-0.124938737
2,GYPO,4,3,0.75,-0.05,0.477121255,-0.109144469
2,GYPO,5,3.5,0.7,-0.01,0.367976785,-0.019826295
2,GYPO,10,4,0.65,-0.02,0.268845312,-0.036339027
2,GYPO,15,5,0.55,-0.006,0.087150176,-0.010529657
2,GYPO,40,8,0.4,-0.00125,-0.176091259,-0.002662305
2,GYPO,200,20,0.2,NA,-0.602059991,NA
2,EUBI,0.75,0.5,0.85,-0.2,0.753327667,-0.605070701
2,EUBI,1,1,0.8,-0.05,0.602059991,-0.124938737
2,EUBI,2,2,0.75,-0.05,0.477121255,-0.109144469
2,EUBI,3,2.5,0.7,0,0.367976785,0
2,EUBI,4,3,0.7,0,0.367976785,0
2,EUBI,5,3.5,0.7,-0.01,0.367976785,-0.019826295
2,EUBI,10,4,0.65,-0.02,0.268845312,-0.036339027
2,EUBI,15,5,0.55,-0.006,0.087150176,-0.010529657
2,EUBI,40,8,0.4,-0.00125,-0.176091259,-0.002662305
2,EUBI,200,20,0.2,NA,-0.602059991,NA
3,DEFU,0.75,0.5,0.96,-0.08,1.380211242,-0.740938554
3,DEFU,1,1,0.94,-0.02,1.194976603,-0.134278763
3,DEFU,2,2,0.92,-0.02,1.06069784,-0.106455331
3,DEFU,3,2.5,0.9,-0.05,0.954242509,-0.200914843
3,DEFU,4,3,0.85,-0.05,0.753327667,-0.151267675
3,DEFU,5,3.5,0.8,-0.01,0.602059991,-0.024987747
3,DEFU,10,4,0.75,-0.01,0.477121255,-0.021828894
3,DEFU,15,5,0.7,-0.008,0.367976785,-0.014719071
3,DEFU,40,8,0.5,-0.000625,0,-0.00110057
3,DEFU,200,20,0.4,NA,-0.176091259,NA
3,GYPO,0.75,0.5,0.92,-0.08,1.06069784,-0.425821324
3,GYPO,1,1,0.9,-0.02,0.954242509,-0.088941083
3,GYPO,2,2,0.88,-0.03,0.865301426,-0.111973759
3,GYPO,3,2.5,0.85,0,0.753327667,0
3,GYPO,4,3,0.85,0,0.753327667,0
3,GYPO,5,3.5,0.85,-0.004,0.753327667,-0.012939699
3,GYPO,10,4,0.83,-0.004,0.688629171,-0.011779551
3,GYPO,15,5,0.81,-0.0024,0.629731418,-0.006104407
3,GYPO,40,8,0.75,-0.0003125,0.477121255,-0.000682153
3,GYPO,200,20,0.7,NA,0.367976785,NA
3,EUBI,0.75,0.5,0.93,-0.04,1.123384909,-0.250748273
3,EUBI,1,1,0.92,-0.01,1.06069784,-0.055898957
3,EUBI,2,2,0.91,-0.01,1.004798883,-0.050556373
3,EUBI,3,2.5,0.9,-0.05,0.954242509,-0.200914843
3,EUBI,4,3,0.85,0,0.753327667,0
3,EUBI,5,3.5,0.85,0,0.753327667,0
3,EUBI,10,4,0.85,-0.01,0.753327667,-0.030253535
3,EUBI,15,5,0.8,-0.002,0.602059991,-0.004997549
3,EUBI,40,8,0.75,-0.0009375,0.477121255,-0.001881437
3,EUBI,200,20,0.6,NA,0.176091259,NA
