expert_ID,species,riparian30m_percent_forest,upland_percent_forest,pr_occ
1,DEFU,0,0,0.01
1,DEFU,50,0,0.2
1,DEFU,100,0,0.5
1,DEFU,0,50,0.3
1,DEFU,50,50,0.5
1,DEFU,100,50,0.8
1,DEFU,0,100,0.4
1,DEFU,50,100,0.7
1,DEFU,100,100,0.99
1,GYPO,0,0,0.01
1,GYPO,50,0,0.2
1,GYPO,100,0,0.5
1,GYPO,0,50,0.3
1,GYPO,50,50,0.5
1,GYPO,100,50,0.8
1,GYPO,0,100,0.4
1,GYPO,50,100,0.7
1,GYPO,100,100,0.99
1,EUBI,0,0,0.01
1,EUBI,50,0,0.2
1,EUBI,100,0,0.5
1,EUBI,0,50,0.3
1,EUBI,50,50,0.5
1,EUBI,100,50,0.8
1,EUBI,0,100,0.4
1,EUBI,50,100,0.7
1,EUBI,100,100,0.99
2,DEFU,0,0,0.01
2,DEFU,50,0,0.2
2,DEFU,100,0,0.5
2,DEFU,0,50,0.3
2,DEFU,50,50,0.5
2,DEFU,100,50,0.9
2,DEFU,0,100,0.4
2,DEFU,50,100,0.7
2,DEFU,100,100,0.99
2,GYPO,0,0,0.01
2,GYPO,50,0,0.2
2,GYPO,100,0,0.5
2,GYPO,0,50,0.3
2,GYPO,50,50,0.5
2,GYPO,100,50,0.8
2,GYPO,0,100,0.4
2,GYPO,50,100,0.7
2,GYPO,100,100,0.99
2,EUBI,0,0,0.01
2,EUBI,50,0,0.2
2,EUBI,100,0,0.5
2,EUBI,0,50,0.3
2,EUBI,50,50,0.5
2,EUBI,100,50,0.7
2,EUBI,0,100,0.4
2,EUBI,50,100,0.7
2,EUBI,100,100,0.99
3,DEFU,0,0,0.01
3,DEFU,50,0,0.2
3,DEFU,100,0,0.5
3,DEFU,0,50,0.3
3,DEFU,50,50,0.5
3,DEFU,100,50,0.9
3,DEFU,0,100,0.4
3,DEFU,50,100,0.7
3,DEFU,100,100,0.99
3,GYPO,0,0,0.01
3,GYPO,50,0,0.2
3,GYPO,100,0,0.5
3,GYPO,0,50,0.3
3,GYPO,50,50,0.5
3,GYPO,100,50,0.85
3,GYPO,0,100,0.4
3,GYPO,50,100,0.7
3,GYPO,100,100,0.99
3,EUBI,0,0,0.01
3,EUBI,50,0,0.2
3,EUBI,100,0,0.5
3,EUBI,0,50,0.3
3,EUBI,50,50,0.5
3,EUBI,100,50,0.9
3,EUBI,0,100,0.4
3,EUBI,50,100,0.7
3,EUBI,100,100,0.99
