question,expert_ID,species,pr_occ,drainage,s.drainage,width,s.width,temp,s.temp,riparian,s.riparian,upland,s.upland,trout
2,1,DEFU,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,1,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,1,EUBI,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,2,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,2,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,2,EUBI,0.70,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,3,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,3,GYPO,0.85,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
2,3,EUBI,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.95,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.90,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.85,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.75,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.70,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.65,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.55,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.40,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,1,DEFU,0.20,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.95,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.90,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.85,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.75,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.70,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.65,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.55,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.40,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,1,GYPO,0.20,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.95,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.90,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.85,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.75,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
